product_id,week_start_date,stock_on_hand,status
P002,2025-03-30,178,In Stock
P002,2025-04-06,160,In Stock
P002,2025-04-13,121,In Stock
P002,2025-04-20,88,In Stock
P002,2025-04-27,311,In Stock
P002,2025-05-04,294,In Stock
P002,2025-05-11,273,In Stock
P002,2025-05-18,237,In Stock
P002,2025-05-25,213,In Stock
P002,2025-06-01,197,In Stock
P002,2025-06-08,178,In Stock
P002,2025-06-15,128,In Stock
P002,2025-06-22,328,In Stock
P002,2025-06-29,296,In Stock
P002,2025-07-06,261,In Stock
P002,2025-07-13,227,In Stock
P002,2025-07-20,213,In Stock
P002,2025-07-27,181,In Stock
P002,2025-08-03,159,In Stock
P002,2025-08-10,135,In Stock
P002,2025-08-17,109,In Stock
P002,2025-08-24,324,In Stock
P002,2025-08-31,285,In Stock
P002,2025-09-07,254,In Stock
P002,2025-09-14,218,In Stock
P002,2025-09-21,189,In Stock
P002,2025-09-28,158,In Stock
P002,2025-10-05,144,In Stock
P002,2025-10-12,116,In Stock
P002,2025-10-19,100,In Stock
P002,2025-10-26,88,In Stock
P002,2025-11-02,315,In Stock
P002,2025-11-09,292,In Stock
P002,2025-11-16,267,In Stock
P002,2025-11-23,245,In Stock
P002,2025-11-30,234,In Stock
P002,2025-12-07,193,In Stock
P002,2025-12-14,141,In Stock
P002,2025-12-21,113,In Stock
P002,2025-12-28,88,In Stock
P003,2025-01-05,273,In Stock
P003,2025-01-12,254,In Stock
P003,2025-01-19,238,In Stock
P003,2025-01-26,201,In Stock
P003,2025-02-02,178,In Stock
P003,2025-02-09,144,In Stock
P003,2025-02-16,121,In Stock
P003,2025-02-23,378,In Stock
P003,2025-03-02,341,In Stock
P003,2025-03-09,330,In Stock
P003,2025-03-16,304,In Stock
P003,2025-03-23,268,In Stock
P003,2025-03-30,239,In Stock
P003,2025-04-06,226,In Stock
P003,2025-04-13,204,In Stock
P003,2025-04-20,177,In Stock
P003,2025-04-27,165,In Stock
P003,2025-05-04,137,In Stock
P003,2025-05-11,123,In Stock
P003,2025-05-18,113,In Stock
P003,2025-05-25,386,In Stock
P003,2025-06-01,344,In Stock
P003,2025-06-08,322,In Stock
P003,2025-06-15,307,In Stock
P003,2025-06-22,293,In Stock
P003,2025-06-29,280,In Stock
P003,2025-07-06,259,In Stock
P003,2025-07-13,228,In Stock
P003,2025-07-20,206,In Stock
P003,2025-07-27,187,In Stock
P003,2025-08-03,161,In Stock
P003,2025-08-10,122,In Stock
P003,2025-08-17,102,In Stock
P003,2025-08-24,379,In Stock
P003,2025-08-31,345,In Stock
P003,2025-09-07,309,In Stock
P003,2025-09-14,291,In Stock
P003,2025-09-21,269,In Stock
P003,2025-09-28,232,In Stock
P003,2025-10-05,203,In Stock
P003,2025-10-12,171,In Stock
P003,2025-10-19,132,In Stock
P003,2025-10-26,112,In Stock
P003,2025-11-02,371,In Stock
P003,2025-11-09,358,In Stock
P003,2025-11-16,328,In Stock
P003,2025-11-23,308,In Stock
P003,2025-11-30,290,In Stock
P003,2025-12-07,262,In Stock
P003,2025-12-14,217,In Stock
P003,2025-12-21,160,In Stock
P003,2025-12-28,388,In Stock
P004,2025-01-05,202,In Stock
P004,2025-01-12,188,In Stock
P004,2025-01-19,173,In Stock
P004,2025-01-26,145,In Stock
P004,2025-02-02,135,In Stock
P004,2025-02-09,99,In Stock
P004,2025-02-16,345,In Stock
P004,2025-02-23,308,In Stock
P004,2025-03-02,281,In Stock
P004,2025-03-09,248,In Stock
P004,2025-03-16,226,In Stock
P004,2025-03-23,216,In Stock
P004,2025-03-30,197,In Stock
P004,2025-04-06,181,In Stock
P004,2025-04-13,167,In Stock
P004,2025-04-20,145,In Stock
P004,2025-04-27,114,In Stock
P004,2025-05-04,89,In Stock
P004,2025-05-11,327,In Stock
P004,2025-05-18,298,In Stock
P004,2025-05-25,267,In Stock
P004,2025-06-01,238,In Stock
P004,2025-06-08,212,In Stock
P004,2025-06-15,176,In Stock
P004,2025-06-22,135,In Stock
P004,2025-06-29,121,In Stock
P004,2025-07-06,84,In Stock
P004,2025-07-13,338,In Stock
P004,2025-07-20,316,In Stock
P004,2025-07-27,300,In Stock
P004,2025-08-03,279,In Stock
P004,2025-08-10,242,In Stock
P004,2025-08-17,225,In Stock
P004,2025-08-24,200,In Stock
P004,2025-08-31,173,In Stock
P004,2025-09-07,145,In Stock
P004,2025-09-14,108,In Stock
P004,2025-09-21,95,In Stock
P004,2025-09-28,329,In Stock
P004,2025-10-05,295,In Stock
P004,2025-10-12,258,In Stock
P004,2025-10-19,237,In Stock
P004,2025-10-26,212,In Stock
P004,2025-11-02,182,In Stock
P004,2025-11-09,151,In Stock
P004,2025-11-16,125,In Stock
P004,2025-11-23,112,In Stock
P004,2025-11-30,344,In Stock
P004,2025-12-07,292,In Stock
P004,2025-12-14,229,In Stock
P004,2025-12-21,170,In Stock
P004,2025-12-28,111,In Stock
P005,2025-01-05,208,In Stock
P005,2025-01-12,175,In Stock
P005,2025-01-19,157,In Stock
P005,2025-01-26,143,In Stock
P005,2025-02-02,117,In Stock
P005,2025-02-09,91,In Stock
P005,2025-02-16,219,In Stock
P005,2025-02-23,208,In Stock
P005,2025-03-02,178,In Stock
P005,2025-03-09,146,In Stock
P005,2025-03-16,130,In Stock
P005,2025-03-23,117,In Stock
P005,2025-03-30,95,In Stock
P005,2025-04-06,205,In Stock
P005,2025-04-13,166,In Stock
P005,2025-04-20,127,In Stock
P005,2025-04-27,107,In Stock
P005,2025-05-04,211,In Stock
P005,2025-05-11,199,In Stock
P005,2025-05-18,163,In Stock
P005,2025-05-25,152,In Stock
P005,2025-06-01,120,In Stock
P005,2025-06-08,105,In Stock
P005,2025-06-15,202,In Stock
P005,2025-06-22,171,In Stock
P005,2025-06-29,138,In Stock
P005,2025-07-06,113,In Stock
P005,2025-07-13,223,In Stock
P005,2025-07-20,207,In Stock
P005,2025-07-27,182,In Stock
P005,2025-08-03,168,In Stock
P005,2025-08-10,157,In Stock
P005,2025-08-17,147,In Stock
P005,2025-08-24,116,In Stock
P005,2025-08-31,217,In Stock
P005,2025-09-07,195,In Stock
P005,2025-09-14,170,In Stock
P005,2025-09-21,156,In Stock
P005,2025-09-28,144,In Stock
P005,2025-10-05,108,In Stock
P005,2025-10-12,211,In Stock
P005,2025-10-19,187,In Stock
P005,2025-10-26,162,In Stock
P005,2025-11-02,142,In Stock
P005,2025-11-09,108,In Stock
P005,2025-11-16,219,In Stock
P005,2025-11-23,192,In Stock
P005,2025-11-30,162,In Stock
P005,2025-12-07,130,In Stock
P005,2025-12-14,100,In Stock
P005,2025-12-21,184,In Stock
P005,2025-12-28,134,In Stock
P006,2025-01-05,317,In Stock
P006,2025-01-12,291,In Stock
P006,2025-01-19,277,In Stock
P006,2025-01-26,254,In Stock
P006,2025-02-02,238,In Stock
P006,2025-02-09,220,In Stock
P006,2025-02-16,183,In Stock
P006,2025-02-23,157,In Stock
P006,2025-03-02,145,In Stock
P006,2025-03-09,128,In Stock
P006,2025-03-16,97,In Stock
P006,2025-03-23,75,In Stock
P006,2025-03-30,50,In Stock
P006,2025-04-06,156,In Stock
P006,2025-04-13,118,In Stock
P006,2025-04-20,99,In Stock
P006,2025-04-27,72,In Stock
P006,2025-05-04,60,In Stock
P006,2025-05-11,175,In Stock
P006,2025-05-18,150,In Stock
P006,2025-05-25,123,In Stock
P006,2025-06-01,90,In Stock
P006,2025-06-08,70,In Stock
P006,2025-06-15,156,In Stock
P006,2025-06-22,120,In Stock
P006,2025-06-29,79,In Stock
P006,2025-07-06,178,In Stock
P006,2025-07-13,146,In Stock
P006,2025-07-20,129,In Stock
P006,2025-07-27,103,In Stock
P006,2025-08-03,73,In Stock
P006,2025-08-10,174,In Stock
P006,2025-08-17,140,In Stock
P006,2025-08-24,103,In Stock
P006,2025-08-31,67,In Stock
P006,2025-09-07,51,In Stock
P006,2025-09-14,177,In Stock
P006,2025-09-21,160,In Stock
P006,2025-09-28,132,In Stock
P006,2025-10-05,94,In Stock
P006,2025-10-12,65,In Stock
P006,2025-10-19,172,In Stock
P006,2025-10-26,153,In Stock
P006,2025-11-02,114,In Stock
P006,2025-11-09,93,In Stock
P006,2025-11-16,60,In Stock
P006,2025-11-23,50,In Stock
P006,2025-11-30,153,In Stock
P006,2025-12-07,92,In Stock
P006,2025-12-14,167,In Stock
P006,2025-12-21,113,In Stock
P006,2025-12-28,90,In Stock
P007,2025-01-05,135,In Stock
P007,2025-01-12,111,In Stock
P007,2025-01-19,78,In Stock
P007,2025-01-26,220,In Stock
P007,2025-02-02,196,In Stock
P007,2025-02-09,161,In Stock
P007,2025-02-16,124,In Stock
P007,2025-02-23,108,In Stock
P007,2025-03-02,87,In Stock
P007,2025-03-09,75,In Stock
P007,2025-03-16,223,In Stock
P007,2025-03-23,205,In Stock
P007,2025-03-30,182,In Stock
P007,2025-04-06,160,In Stock
P007,2025-04-13,127,In Stock
P007,2025-04-20,90,In Stock
P007,2025-04-27,69,In Stock
P007,2025-05-04,59,In Stock
P007,2025-05-11,208,In Stock
P007,2025-05-18,169,In Stock
P007,2025-05-25,144,In Stock
P007,2025-06-01,117,In Stock
P007,2025-06-08,93,In Stock
P007,2025-06-15,79,In Stock
P007,2025-06-22,221,In Stock
P007,2025-06-29,193,In Stock
P007,2025-07-06,155,In Stock
P007,2025-07-13,122,In Stock
P007,2025-07-20,107,In Stock
P007,2025-07-27,86,In Stock
P007,2025-08-03,226,In Stock
P007,2025-08-10,189,In Stock
P007,2025-08-17,151,In Stock
P007,2025-08-24,120,In Stock
P007,2025-08-31,107,In Stock
P007,2025-09-07,97,In Stock
P007,2025-09-14,77,In Stock
P007,2025-09-21,222,In Stock
P007,2025-09-28,205,In Stock
P007,2025-10-05,194,In Stock
P007,2025-10-12,183,In Stock
P007,2025-10-19,158,In Stock
P007,2025-10-26,148,In Stock
P007,2025-11-02,135,In Stock
P007,2025-11-09,120,In Stock
P007,2025-11-16,81,In Stock
P007,2025-11-23,228,In Stock
P007,2025-11-30,199,In Stock
P007,2025-12-07,158,In Stock
P007,2025-12-14,106,In Stock
P007,2025-12-21,220,In Stock
P007,2025-12-28,177,In Stock
P008,2025-01-05,204,In Stock
P008,2025-01-12,177,In Stock
P008,2025-01-19,139,In Stock
P008,2025-01-26,107,In Stock
P008,2025-02-02,96,In Stock
P008,2025-02-09,67,In Stock
P008,2025-02-16,43,In Stock
P008,2025-02-23,148,In Stock
P008,2025-03-02,118,In Stock
P008,2025-03-09,92,In Stock
P008,2025-03-16,63,In Stock
P008,2025-03-23,140,In Stock
P008,2025-03-30,106,In Stock
P008,2025-04-06,84,In Stock
P008,2025-04-13,63,In Stock
P008,2025-04-20,145,In Stock
P008,2025-04-27,114,In Stock
P008,2025-05-04,90,In Stock
P008,2025-05-11,57,In Stock
P008,2025-05-18,43,In Stock
P008,2025-05-25,142,In Stock
P008,2025-06-01,120,In Stock
P008,2025-06-08,79,In Stock
P008,2025-06-15,50,In Stock
P008,2025-06-22,149,In Stock
P008,2025-06-29,110,In Stock
P008,2025-07-06,72,In Stock
P008,2025-07-13,49,In Stock
P008,2025-07-20,145,In Stock
P008,2025-07-27,114,In Stock
P008,2025-08-03,75,In Stock
P008,2025-08-10,151,In Stock
P008,2025-08-17,114,In Stock
P008,2025-08-24,89,In Stock
P008,2025-08-31,69,In Stock
P008,2025-09-07,153,In Stock
P008,2025-09-14,115,In Stock
P008,2025-09-21,81,In Stock
P008,2025-09-28,46,In Stock
P008,2025-10-05,138,In Stock
P008,2025-10-12,115,In Stock
P008,2025-10-19,104,In Stock
P008,2025-10-26,73,In Stock
P008,2025-11-02,51,In Stock
P008,2025-11-09,154,In Stock
P008,2025-11-16,115,In Stock
P008,2025-11-23,88,In Stock
P008,2025-11-30,57,In Stock
P008,2025-12-07,149,In Stock
P008,2025-12-14,95,In Stock
P008,2025-12-21,156,In Stock
P008,2025-12-28,106,In Stock
P009,2025-01-05,256,In Stock
P009,2025-01-12,243,In Stock
P009,2025-01-19,215,In Stock
P009,2025-01-26,183,In Stock
P009,2025-02-02,159,In Stock
P009,2025-02-09,149,In Stock
P009,2025-02-16,124,In Stock
P009,2025-02-23,100,In Stock
P009,2025-03-02,75,In Stock
P009,2025-03-09,44,In Stock
P009,2025-03-16,157,In Stock
P009,2025-03-23,147,In Stock
P009,2025-03-30,121,In Stock
P009,2025-04-06,107,In Stock
P009,2025-04-13,68,In Stock
P009,2025-04-20,54,In Stock
P009,2025-04-27,161,In Stock
P009,2025-05-04,145,In Stock
P009,2025-05-11,123,In Stock
P009,2025-05-18,102,In Stock
P009,2025-05-25,89,In Stock
P009,2025-06-01,39,In Stock
P009,2025-06-08,137,In Stock
P009,2025-06-15,121,In Stock
P009,2025-06-22,80,In Stock
P009,2025-06-29,41,In Stock
P009,2025-07-06,153,In Stock
P009,2025-07-13,138,In Stock
P009,2025-07-20,105,In Stock
P009,2025-07-27,81,In Stock
P009,2025-08-03,51,In Stock
P009,2025-08-10,165,In Stock
P009,2025-08-17,150,In Stock
P009,2025-08-24,111,In Stock
P009,2025-08-31,90,In Stock
P009,2025-09-07,67,In Stock
P009,2025-09-14,40,In Stock
P009,2025-09-21,145,In Stock
P009,2025-09-28,124,In Stock
P009,2025-10-05,91,In Stock
P009,2025-10-12,58,In Stock
P009,2025-10-19,34,In Stock
P009,2025-10-26,148,In Stock
P009,2025-11-02,111,In Stock
P009,2025-11-09,94,In Stock
P009,2025-11-16,76,In Stock
P009,2025-11-23,62,In Stock
P009,2025-11-30,48,In Stock
P009,2025-12-07,163,In Stock
P009,2025-12-14,106,In Stock
P009,2025-12-21,85,In Stock
P009,2025-12-28,60,In Stock
P010,2025-01-05,290,In Stock
P010,2025-01-12,255,In Stock
P010,2025-01-19,225,In Stock
P010,2025-01-26,196,In Stock
P010,2025-02-02,186,In Stock
P010,2025-02-09,170,In Stock
P010,2025-02-16,146,In Stock
P010,2025-02-23,120,In Stock
P010,2025-03-02,244,In Stock
P010,2025-03-09,227,In Stock
P010,2025-03-16,188,In Stock
P010,2025-03-23,153,In Stock
P010,2025-03-30,116,In Stock
P010,2025-04-06,105,In Stock
P010,2025-04-13,232,In Stock
P010,2025-04-20,210,In Stock
P010,2025-04-27,189,In Stock
P010,2025-05-04,175,In Stock
P010,2025-05-11,153,In Stock
P010,2025-05-18,138,In Stock
P010,2025-05-25,104,In Stock
P010,2025-06-01,235,In Stock
P010,2025-06-08,185,In Stock
P010,2025-06-15,144,In Stock
P010,2025-06-22,104,In Stock
P010,2025-06-29,227,In Stock
P010,2025-07-06,196,In Stock
P010,2025-07-13,157,In Stock
P010,2025-07-20,137,In Stock
P010,2025-07-27,124,In Stock
P010,2025-08-03,114,In Stock
P010,2025-08-10,90,In Stock
P010,2025-08-17,231,In Stock
P010,2025-08-24,213,In Stock
P010,2025-08-31,193,In Stock
P010,2025-09-07,179,In Stock
P010,2025-09-14,146,In Stock
P010,2025-09-21,130,In Stock
P010,2025-09-28,113,In Stock
P010,2025-10-05,103,In Stock
P010,2025-10-12,231,In Stock
P010,2025-10-19,221,In Stock
P010,2025-10-26,209,In Stock
P010,2025-11-02,192,In Stock
P010,2025-11-09,155,In Stock
P010,2025-11-16,135,In Stock
P010,2025-11-23,125,In Stock
P010,2025-11-30,102,In Stock
P010,2025-12-07,84,In Stock
P010,2025-12-14,219,In Stock
P010,2025-12-21,165,In Stock
P010,2025-12-28,101,In Stock
P011,2025-01-05,239,In Stock
P011,2025-01-12,220,In Stock
P011,2025-01-19,199,In Stock
P011,2025-01-26,180,In Stock
P011,2025-02-02,149,In Stock
P011,2025-02-09,138,In Stock
P011,2025-02-16,105,In Stock
P011,2025-02-23,68,In Stock
P011,2025-03-02,37,In Stock
P011,2025-03-09,129,In Stock
P011,2025-03-16,104,In Stock
P011,2025-03-23,82,In Stock
P011,2025-03-30,69,In Stock
P011,2025-04-06,56,In Stock
P011,2025-04-13,131,In Stock
P011,2025-04-20,111,In Stock
P011,2025-04-27,79,In Stock
P011,2025-05-04,56,In Stock
P011,2025-05-11,44,In Stock
P011,2025-05-18,122,In Stock
P011,2025-05-25,94,In Stock
P011,2025-06-01,54,In Stock
P011,2025-06-08,124,In Stock
P011,2025-06-15,111,In Stock
P011,2025-06-22,93,In Stock
P011,2025-06-29,60,In Stock
P011,2025-07-06,50,In Stock
P011,2025-07-13,136,In Stock
P011,2025-07-20,108,In Stock
P011,2025-07-27,95,In Stock
P011,2025-08-03,67,In Stock
P011,2025-08-10,52,In Stock
P011,2025-08-17,129,In Stock
P011,2025-08-24,105,In Stock
P011,2025-08-31,92,In Stock
P011,2025-09-07,59,In Stock
P011,2025-09-14,49,In Stock
P011,2025-09-21,130,In Stock
P011,2025-09-28,94,In Stock
P011,2025-10-05,68,In Stock
P011,2025-10-12,48,In Stock
P011,2025-10-19,136,In Stock
P011,2025-10-26,104,In Stock
P011,2025-11-02,94,In Stock
P011,2025-11-09,76,In Stock
P011,2025-11-16,53,In Stock
P011,2025-11-23,143,In Stock
P011,2025-11-30,110,In Stock
P011,2025-12-07,42,In Stock
P011,2025-12-14,138,In Stock
P011,2025-12-21,119,In Stock
P011,2025-12-28,71,In Stock
P012,2025-01-05,344,In Stock
P012,2025-01-12,315,In Stock
P012,2025-01-19,298,In Stock
P012,2025-01-26,288,In Stock
P012,2025-02-02,264,In Stock
P012,2025-02-09,245,In Stock
P012,2025-02-16,206,In Stock
P012,2025-02-23,193,In Stock
P012,2025-03-02,174,In Stock
P012,2025-03-09,154,In Stock
P012,2025-03-16,140,In Stock
P012,2025-03-23,122,In Stock
P012,2025-03-30,108,In Stock
P012,2025-04-06,70,In Stock
P012,2025-04-13,50,In Stock
P012,2025-04-20,309,In Stock
P012,2025-04-27,273,In Stock
P012,2025-05-04,260,In Stock
P012,2025-05-11,241,In Stock
P012,2025-05-18,225,In Stock
P012,2025-05-25,215,In Stock
P012,2025-06-01,169,In Stock
P012,2025-06-08,150,In Stock
P012,2025-06-15,128,In Stock
P012,2025-06-22,95,In Stock
P012,2025-06-29,53,In Stock
P012,2025-07-06,308,In Stock
P012,2025-07-13,298,In Stock
P012,2025-07-20,280,In Stock
P012,2025-07-27,260,In Stock
P012,2025-08-03,232,In Stock
P012,2025-08-10,221,In Stock
P012,2025-08-17,189,In Stock
P012,2025-08-24,169,In Stock
P012,2025-08-31,157,In Stock
P012,2025-09-07,131,In Stock
P012,2025-09-14,112,In Stock
P012,2025-09-21,74,In Stock
P012,2025-09-28,62,In Stock
P012,2025-10-05,302,In Stock
P012,2025-10-12,290,In Stock
P012,2025-10-19,260,In Stock
P012,2025-10-26,226,In Stock
P012,2025-11-02,210,In Stock
P012,2025-11-09,199,In Stock
P012,2025-11-16,189,In Stock
P012,2025-11-23,173,In Stock
P012,2025-11-30,144,In Stock
P012,2025-12-07,108,In Stock
P012,2025-12-14,51,In Stock
P012,2025-12-21,295,In Stock
P012,2025-12-28,238,In Stock
P013,2025-01-05,221,In Stock
P013,2025-01-12,184,In Stock
P013,2025-01-19,154,In Stock
P013,2025-01-26,126,In Stock
P013,2025-02-02,103,In Stock
P013,2025-02-09,91,In Stock
P013,2025-02-16,78,In Stock
P013,2025-02-23,61,In Stock
P013,2025-03-02,270,In Stock
P013,2025-03-09,257,In Stock
P013,2025-03-16,237,In Stock
P013,2025-03-23,212,In Stock
P013,2025-03-30,200,In Stock
P013,2025-04-06,184,In Stock
P013,2025-04-13,173,In Stock
P013,2025-04-20,163,In Stock
P013,2025-04-27,128,In Stock
P013,2025-05-04,118,In Stock
P013,2025-05-11,103,In Stock
P013,2025-05-18,75,In Stock
P013,2025-05-25,59,In Stock
P013,2025-06-01,253,In Stock
P013,2025-06-08,235,In Stock
P013,2025-06-15,196,In Stock
P013,2025-06-22,148,In Stock
P013,2025-06-29,113,In Stock
P013,2025-07-06,80,In Stock
P013,2025-07-13,45,In Stock
P013,2025-07-20,259,In Stock
P013,2025-07-27,249,In Stock
P013,2025-08-03,230,In Stock
P013,2025-08-10,212,In Stock
P013,2025-08-17,186,In Stock
P013,2025-08-24,176,In Stock
P013,2025-08-31,166,In Stock
P013,2025-09-07,150,In Stock
P013,2025-09-14,137,In Stock
P013,2025-09-21,100,In Stock
P013,2025-09-28,68,In Stock
P013,2025-10-05,38,In Stock
P013,2025-10-12,253,In Stock
P013,2025-10-19,228,In Stock
P013,2025-10-26,205,In Stock
P013,2025-11-02,173,In Stock
P013,2025-11-09,154,In Stock
P013,2025-11-16,131,In Stock
P013,2025-11-23,115,In Stock
P013,2025-11-30,102,In Stock
P013,2025-12-07,83,In Stock
P013,2025-12-14,260,In Stock
P013,2025-12-21,212,In Stock
P013,2025-12-28,167,In Stock
P014,2025-01-05,368,In Stock
P014,2025-01-12,350,In Stock
P014,2025-01-19,316,In Stock
P014,2025-01-26,277,In Stock
P014,2025-02-02,260,In Stock
P014,2025-02-09,227,In Stock
P014,2025-02-16,198,In Stock
P014,2025-02-23,173,In Stock
P014,2025-03-02,134,In Stock
P014,2025-03-09,105,In Stock
P014,2025-03-16,66,In Stock
P014,2025-03-23,39,In Stock
P014,2025-03-30,190,In Stock
P014,2025-04-06,165,In Stock
P014,2025-04-13,152,In Stock
P014,2025-04-20,137,In Stock
P014,2025-04-27,125,In Stock
P014,2025-05-04,98,In Stock
P014,2025-05-11,74,In Stock
P014,2025-05-18,57,In Stock
P014,2025-05-25,194,In Stock
P014,2025-06-01,152,In Stock
P014,2025-06-08,111,In Stock
P014,2025-06-15,96,In Stock
P014,2025-06-22,77,In Stock
P014,2025-06-29,201,In Stock
P014,2025-07-06,166,In Stock
P014,2025-07-13,127,In Stock
P014,2025-07-20,97,In Stock
P014,2025-07-27,59,In Stock
P014,2025-08-03,190,In Stock
P014,2025-08-10,166,In Stock
P014,2025-08-17,130,In Stock
P014,2025-08-24,109,In Stock
P014,2025-08-31,95,In Stock
P014,2025-09-07,79,In Stock
P014,2025-09-14,48,In Stock
P014,2025-09-21,176,In Stock
P014,2025-09-28,152,In Stock
P014,2025-10-05,136,In Stock
P014,2025-10-12,114,In Stock
P014,2025-10-19,80,In Stock
P014,2025-10-26,68,In Stock
P014,2025-11-02,197,In Stock
P014,2025-11-09,165,In Stock
P014,2025-11-16,143,In Stock
P014,2025-11-23,108,In Stock
P014,2025-11-30,96,In Stock
P014,2025-12-07,192,In Stock
P014,2025-12-14,173,In Stock
P014,2025-12-21,107,In Stock
P014,2025-12-28,50,In Stock
P015,2025-01-05,287,In Stock
P015,2025-01-12,272,In Stock
P015,2025-01-19,252,In Stock
P015,2025-01-26,237,In Stock
P015,2025-02-02,206,In Stock
P015,2025-02-09,195,In Stock
P015,2025-02-16,169,In Stock
P015,2025-02-23,157,In Stock
P015,2025-03-02,136,In Stock
P015,2025-03-09,113,In Stock
P015,2025-03-16,102,In Stock
P015,2025-03-23,214,In Stock
P015,2025-03-30,176,In Stock
P015,2025-04-06,139,In Stock
P015,2025-04-13,108,In Stock
P015,2025-04-20,213,In Stock
P015,2025-04-27,199,In Stock
P015,2025-05-04,180,In Stock
P015,2025-05-11,161,In Stock
P015,2025-05-18,131,In Stock
P015,2025-05-25,113,In Stock
P015,2025-06-01,206,In Stock
P015,2025-06-08,167,In Stock
P015,2025-06-15,139,In Stock
P015,2025-06-22,115,In Stock
P015,2025-06-29,239,In Stock
P015,2025-07-06,219,In Stock
P015,2025-07-13,206,In Stock
P015,2025-07-20,171,In Stock
P015,2025-07-27,148,In Stock
P015,2025-08-03,109,In Stock
P015,2025-08-10,226,In Stock
P015,2025-08-17,197,In Stock
P015,2025-08-24,186,In Stock
P015,2025-08-31,167,In Stock
P015,2025-09-07,155,In Stock
P015,2025-09-14,139,In Stock
P015,2025-09-21,123,In Stock
P015,2025-09-28,113,In Stock
P015,2025-10-05,239,In Stock
P015,2025-10-12,207,In Stock
P015,2025-10-19,197,In Stock
P015,2025-10-26,180,In Stock
P015,2025-11-02,157,In Stock
P015,2025-11-09,134,In Stock
P015,2025-11-16,123,In Stock
P015,2025-11-23,106,In Stock
P015,2025-11-30,221,In Stock
P015,2025-12-07,187,In Stock
P015,2025-12-14,159,In Stock
P015,2025-12-21,120,In Stock
P015,2025-12-28,208,In Stock
P016,2025-01-05,146,In Stock
P016,2025-01-12,126,In Stock
P016,2025-01-19,91,In Stock
P016,2025-01-26,187,In Stock
P016,2025-02-02,167,In Stock
P016,2025-02-09,156,In Stock
P016,2025-02-16,145,In Stock
P016,2025-02-23,107,In Stock
P016,2025-03-02,86,In Stock
P016,2025-03-09,181,In Stock
P016,2025-03-16,155,In Stock
P016,2025-03-23,132,In Stock
P016,2025-03-30,98,In Stock
P016,2025-04-06,192,In Stock
P016,2025-04-13,156,In Stock
P016,2025-04-20,139,In Stock
P016,2025-04-27,106,In Stock
P016,2025-05-04,199,In Stock
P016,2025-05-11,185,In Stock
P016,2025-05-18,164,In Stock
P016,2025-05-25,149,In Stock
P016,2025-06-01,114,In Stock
P016,2025-06-08,188,In Stock
P016,2025-06-15,170,In Stock
P016,2025-06-22,151,In Stock
P016,2025-06-29,128,In Stock
P016,2025-07-06,104,In Stock
P016,2025-07-13,85,In Stock
P016,2025-07-20,178,In Stock
P016,2025-07-27,140,In Stock
P016,2025-08-03,105,In Stock
P016,2025-08-10,196,In Stock
P016,2025-08-17,175,In Stock
P016,2025-08-24,157,In Stock
P016,2025-08-31,133,In Stock
P016,2025-09-07,110,In Stock
P016,2025-09-14,100,In Stock
P016,2025-09-21,193,In Stock
P016,2025-09-28,183,In Stock
P016,2025-10-05,151,In Stock
