review_id,customer_id,product_id,rating,review_text,review_date
REV00104,C0538,P074,4,Overall positive experience. A solid product.,2025-01-31 09:54:22
REV00105,C4483,P100,4,"Very good quality, matches description nicely.",2025-01-16 14:09:45
REV00106,C3113,P049,2,Felt a bit flimsy and failed to meet expectations.,2025-01-19 15:36:04
REV00107,C1384,P034,4,"Decent purchase, works well for its purpose.",2025-01-09 12:13:40
REV00108,C4170,P026,5,Perfect. Highly recommend to everyone.,2025-01-13 09:11:02
REV00109,C0915,P057,5,Incredible quality. Will definitely purchase again.,2025-01-23 16:12:06
REV00110,C3210,P064,4,Nice product. Would buy again.,2025-02-07 13:19:44
REV00111,C4277,P090,5,Absolutely fantastic! Exceeded my expectations.,2025-01-17 12:37:43
REV00112,C0651,P017,4,"Decent purchase, works well for its purpose.",2025-02-03 13:46:21
REV00113,C2343,P025,3,Decent for the price but has minor issues.,2025-01-24 12:31:52
REV00114,C0449,P071,4,Nice product. Would buy again.,2025-01-09 11:43:19
REV00115,C0242,P074,4,"Very good quality, matches description nicely.",2025-01-17 20:47:57
REV00116,C2785,P014,5,Really great value for money. Very happy!,2025-02-04 21:40:51
REV00117,C3289,P001,3,"Works fine, but not quite as premium as pictured.",2025-01-15 15:44:24
REV00118,C3366,P069,5,Super fast shipping and top notch quality.,2025-01-15 21:06:59
REV00119,C4879,P012,4,"Very good quality, matches description nicely.",2025-01-24 13:48:28
REV00120,C4754,P091,4,Satisfied with this. Pretty close to what I expected.,2025-01-21 14:46:41
REV00121,C4029,P056,1,Complete waste of money. Do not buy!,2025-01-20 08:01:09
REV00122,C4314,P052,5,Incredible quality. Will definitely purchase again.,2025-01-22 21:03:08
REV00123,C1600,P066,4,Nice product. Would buy again.,2025-01-28 13:12:37
REV00124,C4956,P100,4,"Decent purchase, works well for its purpose.",2025-02-03 18:01:51
REV00125,C4838,P019,2,Felt a bit flimsy and failed to meet expectations.,2025-01-26 13:39:18
REV00126,C2134,P007,4,"Very good quality, matches description nicely.",2025-01-10 18:10:38
REV00127,C3689,P007,2,Below average performance. Would not recommend.,2025-01-30 20:46:45
REV00128,C3526,P047,5,Incredible quality. Will definitely purchase again.,2025-02-05 13:03:17
REV00129,C1695,P007,4,Overall positive experience. A solid product.,2025-01-11 08:53:19
REV00130,C1636,P050,5,Incredible quality. Will definitely purchase again.,2025-01-24 10:47:39
REV00131,C0660,P007,5,Absolutely fantastic! Exceeded my expectations.,2025-01-20 19:34:53
REV00132,C1919,P014,3,Okay product. Quality could be slightly better.,2025-01-15 08:06:07
REV00133,C2291,P100,3,Okay product. Quality could be slightly better.,2025-01-20 12:51:54
REV00134,C4733,P079,5,Incredible quality. Will definitely purchase again.,2025-01-31 10:46:32
REV00135,C3719,P029,1,Terrible! Broke within a couple of days.,2025-02-01 12:38:53
REV00136,C2624,P006,3,It is average. Nothing outstanding.,2025-01-12 19:28:03
REV00137,C3714,P017,4,Nice product. Would buy again.,2025-01-17 14:27:35
REV00138,C1704,P020,2,Felt a bit flimsy and failed to meet expectations.,2025-02-07 14:01:57
REV00139,C1970,P006,5,Really great value for money. Very happy!,2025-01-25 19:20:15
REV00140,C2418,P096,5,Incredible quality. Will definitely purchase again.,2025-01-31 13:53:19
REV00141,C4469,P012,5,Perfect. Highly recommend to everyone.,2025-01-24 13:44:42
REV00142,C0754,P016,5,Perfect. Highly recommend to everyone.,2025-02-07 14:34:33
REV00143,C1522,P011,2,"Not as described, does not work very well.",2025-01-31 10:53:14
REV00144,C0357,P062,5,Really great value for money. Very happy!,2025-01-27 08:23:53
REV00145,C3194,P039,4,Satisfied with this. Pretty close to what I expected.,2025-01-14 08:54:17
REV00146,C0677,P007,5,Super fast shipping and top notch quality.,2025-02-03 20:33:33
REV00147,C3081,P011,1,Complete waste of money. Do not buy!,2025-02-04 08:40:55
REV00148,C4379,P065,4,"Decent purchase, works well for its purpose.",2025-01-24 08:31:43
REV00149,C1142,P076,4,Satisfied with this. Pretty close to what I expected.,2025-01-25 15:04:26
REV00150,C0874,P100,5,Really great value for money. Very happy!,2025-01-28 08:31:09
REV00151,C2900,P096,5,Super fast shipping and top notch quality.,2025-01-27 16:33:38
REV00152,C0074,P100,5,Super fast shipping and top notch quality.,2025-01-28 18:43:29
REV00153,C3189,P077,3,"Works fine, but not quite as premium as pictured.",2025-02-08 19:44:36
REV00154,C3871,P024,5,Incredible quality. Will definitely purchase again.,2025-01-23 09:10:11
REV00155,C1999,P006,4,"Decent purchase, works well for its purpose.",2025-01-28 16:32:24
REV00156,C3043,P023,4,"Decent purchase, works well for its purpose.",2025-01-17 21:39:42
REV00157,C0560,P065,4,Overall positive experience. A solid product.,2025-01-23 15:07:01
REV00158,C1747,P076,4,Satisfied with this. Pretty close to what I expected.,2025-01-18 13:33:02
REV00159,C4023,P082,4,Overall positive experience. A solid product.,2025-02-04 08:02:13
REV00160,C1566,P100,5,Really great value for money. Very happy!,2025-02-05 18:00:58
REV00161,C0158,P076,5,Absolutely fantastic! Exceeded my expectations.,2025-01-27 08:52:34
REV00162,C4782,P026,5,Incredible quality. Will definitely purchase again.,2025-02-08 14:28:33
REV00163,C4466,P061,3,Okay product. Quality could be slightly better.,2025-02-04 09:01:08
REV00164,C3204,P091,4,"Very good quality, matches description nicely.",2025-01-20 10:46:47
REV00165,C0374,P057,5,Incredible quality. Will definitely purchase again.,2025-02-02 09:56:09
REV00166,C1049,P100,3,Decent for the price but has minor issues.,2025-01-20 08:21:39
REV00167,C2904,P062,5,Super fast shipping and top notch quality.,2025-02-06 18:44:17
REV00168,C3636,P002,3,"Standard product, performs as expected.",2025-01-21 19:40:13
REV00169,C4241,P053,5,Absolutely fantastic! Exceeded my expectations.,2025-01-14 21:23:40
REV00170,C3633,P002,5,Absolutely fantastic! Exceeded my expectations.,2025-01-25 09:29:31
REV00171,C3975,P012,4,Nice product. Would buy again.,2025-01-18 15:02:57
REV00172,C3279,P051,5,Perfect. Highly recommend to everyone.,2025-02-07 19:06:47
REV00173,C0820,P098,5,Absolutely fantastic! Exceeded my expectations.,2025-01-28 12:21:16
REV00174,C1796,P007,4,Overall positive experience. A solid product.,2025-01-19 11:23:06
REV00175,C2233,P080,4,"Decent purchase, works well for its purpose.",2025-01-28 08:34:20
REV00176,C2517,P098,4,Overall positive experience. A solid product.,2025-02-10 09:52:59
REV00177,C3154,P007,5,Perfect. Highly recommend to everyone.,2025-02-02 09:21:19
REV00178,C1050,P011,5,Incredible quality. Will definitely purchase again.,2025-01-22 09:32:10
REV00179,C4815,P011,4,"Very good quality, matches description nicely.",2025-01-30 16:05:16
REV00180,C3665,P084,2,Expected more for this price. Quite cheap feeling.,2025-02-03 10:02:41
REV00181,C1268,P076,5,Incredible quality. Will definitely purchase again.,2025-02-04 21:00:27
REV00182,C0051,P008,5,Absolutely fantastic! Exceeded my expectations.,2025-01-30 18:35:36
REV00183,C1565,P064,5,Incredible quality. Will definitely purchase again.,2025-02-01 15:28:14
REV00184,C4233,P098,5,Super fast shipping and top notch quality.,2025-01-20 10:04:54
REV00185,C1256,P066,5,Perfect. Highly recommend to everyone.,2025-01-16 14:29:32
REV00186,C2058,P051,5,Really great value for money. Very happy!,2025-01-14 20:30:37
REV00187,C1715,P012,4,Overall positive experience. A solid product.,2025-02-10 14:49:20
REV00188,C1160,P021,5,Super fast shipping and top notch quality.,2025-01-21 19:22:04
REV00189,C4970,P006,4,"Very good quality, matches description nicely.",2025-01-29 10:10:14
REV00190,C3789,P071,1,Complete waste of money. Do not buy!,2025-01-27 15:12:53
REV00191,C1641,P076,5,Super fast shipping and top notch quality.,2025-01-16 08:41:06
REV00192,C3695,P076,5,Absolutely fantastic! Exceeded my expectations.,2025-02-05 12:41:58
REV00193,C1939,P018,4,"Decent purchase, works well for its purpose.",2025-01-26 09:29:29
REV00194,C2581,P030,5,Really great value for money. Very happy!,2025-01-28 08:55:40
REV00195,C3962,P059,5,Super fast shipping and top notch quality.,2025-01-21 10:42:17
REV00196,C4171,P051,5,Super fast shipping and top notch quality.,2025-01-30 09:10:20
REV00197,C1621,P064,5,Absolutely fantastic! Exceeded my expectations.,2025-02-06 12:18:04
REV00198,C1496,P051,3,Decent for the price but has minor issues.,2025-02-06 16:54:30
REV00199,C4615,P035,4,Nice product. Would buy again.,2025-02-12 17:34:45
REV00200,C3606,P051,4,Satisfied with this. Pretty close to what I expected.,2025-01-20 08:08:54
REV00201,C1284,P012,5,Absolutely fantastic! Exceeded my expectations.,2025-02-13 19:47:00
REV00202,C3216,P096,5,Perfect. Highly recommend to everyone.,2025-02-08 19:39:34
REV00203,C3219,P097,5,Perfect. Highly recommend to everyone.,2025-01-30 12:52:35
REV00204,C0379,P045,3,"Standard product, performs as expected.",2025-01-26 13:29:21
REV00205,C2368,P076,5,Perfect. Highly recommend to everyone.,2025-01-30 20:55:56
REV00206,C0319,P076,5,Super fast shipping and top notch quality.,2025-01-31 08:51:48
REV00207,C3771,P007,5,Super fast shipping and top notch quality.,2025-01-26 21:42:30
REV00208,C0250,P081,3,Okay product. Quality could be slightly better.,2025-02-14 20:23:15
REV00209,C2921,P007,5,Super fast shipping and top notch quality.,2025-01-31 14:37:29
REV00210,C2067,P069,5,Absolutely fantastic! Exceeded my expectations.,2025-01-28 11:42:38
REV00211,C0923,P057,2,Expected more for this price. Quite cheap feeling.,2025-01-18 20:03:27
REV00212,C2171,P064,4,Nice product. Would buy again.,2025-01-18 15:28:07
REV00213,C1248,P018,4,Satisfied with this. Pretty close to what I expected.,2025-01-23 21:37:19
REV00214,C4453,P030,2,Expected more for this price. Quite cheap feeling.,2025-02-02 19:43:00
REV00215,C4836,P049,4,Nice product. Would buy again.,2025-01-29 17:42:51
REV00216,C3043,P071,3,Okay product. Quality could be slightly better.,2025-01-26 09:05:07
REV00217,C2358,P026,3,"Works fine, but not quite as premium as pictured.",2025-02-15 15:07:06
REV00218,C1887,P017,3,"Works fine, but not quite as premium as pictured.",2025-02-12 15:24:47
REV00219,C0034,P002,5,Super fast shipping and top notch quality.,2025-01-23 11:13:55
REV00220,C1885,P065,5,Really great value for money. Very happy!,2025-01-25 08:17:56
REV00221,C2790,P063,3,Okay product. Quality could be slightly better.,2025-02-02 15:55:10
REV00222,C4451,P057,5,Incredible quality. Will definitely purchase again.,2025-02-13 19:48:15
REV00223,C3666,P042,2,"Not as described, does not work very well.",2025-01-30 19:34:16
REV00224,C1067,P001,5,Really great value for money. Very happy!,2025-01-21 08:21:09
REV00225,C1985,P069,5,Really great value for money. Very happy!,2025-02-03 13:17:30
REV00226,C1429,P068,4,Nice product. Would buy again.,2025-01-22 16:37:24
REV00227,C0515,P039,4,Satisfied with this. Pretty close to what I expected.,2025-02-15 13:22:09
REV00228,C2840,P011,3,"Works fine, but not quite as premium as pictured.",2025-01-25 19:42:26
REV00229,C0384,P076,1,Terrible! Broke within a couple of days.,2025-01-24 13:10:16
REV00230,C4792,P085,5,Really great value for money. Very happy!,2025-02-15 10:19:27
REV00231,C1013,P070,4,"Decent purchase, works well for its purpose.",2025-01-26 13:32:44
REV00232,C3811,P071,5,Absolutely fantastic! Exceeded my expectations.,2025-02-14 19:22:08
REV00233,C3722,P018,5,Incredible quality. Will definitely purchase again.,2025-02-07 21:08:04
REV00234,C0891,P062,3,It is average. Nothing outstanding.,2025-01-21 21:54:35
REV00235,C0244,P095,4,"Very good quality, matches description nicely.",2025-02-06 11:14:37
REV00236,C3704,P069,1,Absolute garbage. Did not work at all.,2025-02-15 18:13:03
REV00237,C0854,P011,3,"Standard product, performs as expected.",2025-02-11 10:07:20
REV00238,C3840,P030,4,"Decent purchase, works well for its purpose.",2025-02-12 21:43:02
REV00239,C4070,P051,3,It is average. Nothing outstanding.,2025-02-05 18:17:04
REV00240,C3708,P064,4,Nice product. Would buy again.,2025-02-16 17:03:57
REV00241,C4836,P033,5,Really great value for money. Very happy!,2025-01-19 19:42:04
REV00242,C3094,P030,3,Okay product. Quality could be slightly better.,2025-02-17 15:10:42
REV00243,C1702,P076,4,Nice product. Would buy again.,2025-01-26 09:53:04
REV00244,C4470,P051,4,"Decent purchase, works well for its purpose.",2025-02-17 12:50:36
REV00245,C4603,P062,3,"Standard product, performs as expected.",2025-02-01 12:46:14
REV00246,C2408,P002,4,"Very good quality, matches description nicely.",2025-01-22 18:15:54
REV00247,C2074,P023,5,Absolutely fantastic! Exceeded my expectations.,2025-02-14 21:22:51
REV00248,C4557,P071,1,Terrible! Broke within a couple of days.,2025-02-11 19:42:53
REV00249,C2929,P098,2,Felt a bit flimsy and failed to meet expectations.,2025-02-17 11:27:41
REV00250,C2482,P029,5,Perfect. Highly recommend to everyone.,2025-01-28 08:47:51
REV00251,C2473,P050,5,Incredible quality. Will definitely purchase again.,2025-01-20 10:50:04
REV00252,C4774,P026,5,Absolutely fantastic! Exceeded my expectations.,2025-02-15 11:04:51
REV00253,C2312,P017,4,Nice product. Would buy again.,2025-02-17 15:30:52
REV00254,C3983,P085,4,Satisfied with this. Pretty close to what I expected.,2025-01-29 15:03:28
REV00255,C4467,P030,4,Satisfied with this. Pretty close to what I expected.,2025-02-17 20:31:11
REV00256,C4450,P065,5,Really great value for money. Very happy!,2025-02-18 21:24:09
REV00257,C3784,P070,4,Satisfied with this. Pretty close to what I expected.,2025-01-23 18:31:09
REV00258,C3606,P007,5,Really great value for money. Very happy!,2025-02-10 09:09:45
REV00259,C1469,P008,4,Satisfied with this. Pretty close to what I expected.,2025-02-05 17:40:56
REV00260,C0522,P085,5,Absolutely fantastic! Exceeded my expectations.,2025-01-30 16:53:21
REV00261,C2047,P069,4,Satisfied with this. Pretty close to what I expected.,2025-01-21 16:07:22
REV00262,C2455,P037,5,Incredible quality. Will definitely purchase again.,2025-02-08 09:33:24
REV00263,C0346,P020,5,Really great value for money. Very happy!,2025-02-02 08:06:47
REV00264,C0722,P058,4,Nice product. Would buy again.,2025-02-17 12:12:11
REV00265,C2001,P003,1,Poor quality and horrible experience.,2025-01-23 09:34:08
REV00266,C0915,P017,4,Nice product. Would buy again.,2025-01-22 09:20:16
REV00267,C4956,P043,5,Super fast shipping and top notch quality.,2025-02-13 21:52:36
REV00268,C0109,P057,4,Overall positive experience. A solid product.,2025-01-31 12:08:25
REV00269,C4206,P007,4,Overall positive experience. A solid product.,2025-01-29 14:42:53
REV00270,C1323,P095,3,Decent for the price but has minor issues.,2025-02-04 09:00:13
REV00271,C2756,P002,1,Poor quality and horrible experience.,2025-01-26 18:22:52
REV00272,C2603,P083,5,Perfect. Highly recommend to everyone.,2025-02-13 18:23:13
REV00273,C3928,P016,4,Satisfied with this. Pretty close to what I expected.,2025-02-14 09:46:31
REV00274,C2776,P019,4,"Decent purchase, works well for its purpose.",2025-01-29 10:37:23
REV00275,C0424,P003,5,Super fast shipping and top notch quality.,2025-02-16 15:37:07
REV00276,C2111,P012,1,Absolute garbage. Did not work at all.,2025-01-30 16:06:39
REV00277,C3887,P065,5,Super fast shipping and top notch quality.,2025-02-14 08:06:35
REV00278,C3731,P076,3,"Standard product, performs as expected.",2025-02-07 10:39:47
REV00279,C0196,P092,5,Perfect. Highly recommend to everyone.,2025-02-13 13:10:33
REV00280,C0736,P066,5,Incredible quality. Will definitely purchase again.,2025-02-05 20:43:29
REV00281,C3144,P003,5,Incredible quality. Will definitely purchase again.,2025-02-15 11:00:50
REV00282,C0763,P098,4,"Very good quality, matches description nicely.",2025-02-17 15:09:06
REV00283,C1567,P076,5,Incredible quality. Will definitely purchase again.,2025-01-31 12:16:03
REV00284,C4380,P074,3,Okay product. Quality could be slightly better.,2025-02-19 18:26:08
REV00285,C2140,P064,5,Incredible quality. Will definitely purchase again.,2025-01-31 14:27:46
REV00286,C1443,P076,5,Absolutely fantastic! Exceeded my expectations.,2025-02-09 15:29:57
REV00287,C1817,P029,2,"Not as described, does not work very well.",2025-02-12 13:47:57
REV00288,C1489,P079,5,Super fast shipping and top notch quality.,2025-01-25 18:31:37
REV00289,C1295,P006,5,Incredible quality. Will definitely purchase again.,2025-01-25 12:34:08
REV00290,C4617,P098,5,Really great value for money. Very happy!,2025-02-02 11:36:05
REV00291,C1804,P039,2,"Not as described, does not work very well.",2025-02-07 16:11:32
REV00292,C1683,P021,4,"Very good quality, matches description nicely.",2025-02-20 09:39:08
REV00293,C4845,P001,5,Super fast shipping and top notch quality.,2025-01-28 10:49:45
REV00294,C0798,P050,4,"Decent purchase, works well for its purpose.",2025-02-05 18:36:08
REV00295,C4762,P064,3,"Standard product, performs as expected.",2025-01-24 18:42:51
REV00296,C0448,P021,5,Absolutely fantastic! Exceeded my expectations.,2025-02-19 12:47:11
REV00297,C4728,P071,5,Perfect. Highly recommend to everyone.,2025-01-30 21:22:59
REV00298,C0263,P064,5,Incredible quality. Will definitely purchase again.,2025-02-14 09:48:36
REV00299,C2784,P017,3,Okay product. Quality could be slightly better.,2025-02-02 08:14:20
REV00300,C1268,P016,5,Absolutely fantastic! Exceeded my expectations.,2025-02-08 09:56:43
REV00301,C0631,P068,5,Super fast shipping and top notch quality.,2025-01-27 15:16:24
REV00302,C2957,P024,5,Absolutely fantastic! Exceeded my expectations.,2025-02-20 19:18:12
REV00303,C2620,P035,3,It is average. Nothing outstanding.,2025-02-17 18:50:12
REV00304,C1539,P006,4,Overall positive experience. A solid product.,2025-01-23 09:43:29
REV00305,C4785,P056,5,Absolutely fantastic! Exceeded my expectations.,2025-02-03 11:40:28
REV00306,C2260,P095,3,It is average. Nothing outstanding.,2025-02-02 11:24:40
REV00307,C3388,P071,3,Decent for the price but has minor issues.,2025-01-23 12:54:55
REV00308,C2976,P061,4,"Very good quality, matches description nicely.",2025-01-31 20:38:36
REV00309,C0966,P070,4,Overall positive experience. A solid product.,2025-01-23 19:42:48
REV00310,C4957,P067,5,Perfect. Highly recommend to everyone.,2025-02-13 18:40:07
REV00311,C0771,P064,4,"Very good quality, matches description nicely.",2025-01-27 15:23:45
REV00312,C4213,P011,4,Satisfied with this. Pretty close to what I expected.,2025-02-06 14:55:38
REV00313,C3026,P016,5,Incredible quality. Will definitely purchase again.,2025-02-06 10:32:53
REV00314,C0242,P014,1,Absolute garbage. Did not work at all.,2025-02-17 16:05:03
REV00315,C2322,P062,4,Satisfied with this. Pretty close to what I expected.,2025-02-18 14:49:36
REV00316,C1196,P044,3,"Standard product, performs as expected.",2025-01-26 13:25:03
REV00317,C0356,P085,3,"Works fine, but not quite as premium as pictured.",2025-02-02 14:04:08
REV00318,C2731,P082,5,Absolutely fantastic! Exceeded my expectations.,2025-02-22 09:30:49
REV00319,C3964,P064,4,Nice product. Would buy again.,2025-01-28 11:36:01
REV00320,C1087,P092,2,"Not as described, does not work very well.",2025-02-16 11:00:33
REV00321,C2140,P033,5,Absolutely fantastic! Exceeded my expectations.,2025-02-05 08:52:34
REV00322,C3068,P033,4,Nice product. Would buy again.,2025-02-21 17:04:06
