transaction_id,transaction_date,customer_id,product_id,quantity,unit_price,discount_applied,total_amount,payment_method
T00236,2025-01-02 13:48:11,C3317,P024,1,533.86,0.15,453.78,Credit Card
T00237,2025-01-02 19:32:33,C0776,P096,1,22.83,0.0,22.83,Debit Card
T00238,2025-01-02 12:57:57,C3779,P091,2,264.84,0.0,529.68,Debit Card
T00239,2025-01-02 09:13:41,C2076,P068,3,193.06,0.15,492.3,Credit Card
T00240,2025-01-02 21:45:02,C3186,P053,2,22.58,0.0,45.16,Debit Card
T00241,2025-01-02 16:52:12,C4596,P021,1,133.8,0.0,133.8,Credit Card
T00242,2025-01-02 10:36:18,C0405,P057,3,191.35,0.0,574.05,Credit Card
T00243,2025-01-02 18:36:12,C4279,P051,1,83.85,0.0,83.85,Credit Card
T00244,2025-01-02 17:05:26,C2899,P012,1,323.48,0.0,323.48,PayPal
T00245,2025-01-02 19:47:24,C2038,P021,1,133.8,0.0,133.8,PayPal
T00246,2025-01-02 09:46:15,C3555,P076,2,38.94,0.0,77.88,Credit Card
T00247,2025-01-03 21:15:02,C0616,P082,3,25.4,0.15,64.77,Credit Card
T00248,2025-01-03 13:33:23,C3269,P068,2,193.06,0.15,328.2,Debit Card
T00249,2025-01-03 17:45:22,C1383,P066,2,25.42,0.0,50.84,Debit Card
T00250,2025-01-03 21:48:20,C0864,P085,1,93.1,0.0,93.1,Debit Card
T00251,2025-01-03 12:16:53,C0569,P076,1,38.94,0.0,38.94,PayPal
T00252,2025-01-03 09:02:52,C4721,P090,2,273.3,0.0,546.6,PayPal
T00253,2025-01-03 19:15:37,C2853,P007,2,233.2,0.0,466.4,Debit Card
T00254,2025-01-03 21:26:17,C3589,P097,1,94.74,0.15,80.53,Credit Card
T00255,2025-01-03 11:34:16,C3936,P071,4,405.93,0.0,1623.72,Debit Card
T00256,2025-01-03 11:05:25,C1179,P085,1,93.1,0.0,93.1,Debit Card
T00257,2025-01-03 14:37:11,C0618,P045,2,400.57,0.0,801.14,Credit Card
T00258,2025-01-03 08:20:52,C4229,P015,2,22.07,0.0,44.14,Credit Card
T00259,2025-01-03 13:46:36,C1543,P079,1,295.86,0.15,251.48,Cash
T00260,2025-01-03 16:53:14,C0590,P010,1,264.25,0.0,264.25,Credit Card
T00261,2025-01-03 18:08:03,C2738,P011,2,413.83,0.0,827.66,Credit Card
T00262,2025-01-03 10:12:31,C2686,P017,1,24.84,0.0,24.84,Credit Card
T00263,2025-01-03 13:00:41,C3676,P057,2,191.35,0.0,382.7,PayPal
T00264,2025-01-03 12:01:21,C1528,P089,2,108.08,0.0,216.16,PayPal
T00265,2025-01-03 10:47:40,C4923,P018,1,66.79,0.0,66.79,Credit Card
T00266,2025-01-03 09:48:06,C1431,P066,1,25.42,0.0,25.42,PayPal
T00267,2025-01-03 12:16:52,C3633,P003,1,65.81,0.15,55.94,Credit Card
T00268,2025-01-03 11:00:31,C3773,P015,1,22.07,0.0,22.07,PayPal
T00269,2025-01-03 15:31:19,C3732,P065,2,10.26,0.0,20.52,Credit Card
T00270,2025-01-03 17:54:05,C1775,P057,3,191.35,0.0,574.05,Credit Card
T00271,2025-01-03 16:32:09,C3421,P030,1,261.77,0.0,261.77,Credit Card
T00272,2025-01-03 16:23:30,C0412,P069,1,44.4,0.0,44.4,Credit Card
T00273,2025-01-03 20:11:42,C4316,P003,2,65.81,0.15,111.88,Credit Card
T00274,2025-01-03 12:50:41,C4283,P011,1,413.83,0.0,413.83,Credit Card
T00275,2025-01-03 09:08:28,C0023,P011,1,413.83,0.0,413.83,PayPal
T00276,2025-01-03 21:02:03,C3202,P068,1,193.06,0.15,164.1,PayPal
T00277,2025-01-03 13:20:05,C1095,P071,1,405.93,0.0,405.93,PayPal
T00278,2025-01-03 09:36:19,C3981,P050,2,319.97,0.0,639.94,Credit Card
T00279,2025-01-03 20:32:13,C1698,P057,1,191.35,0.0,191.35,Debit Card
T00280,2025-01-03 11:42:01,C2363,P015,1,22.07,0.0,22.07,Credit Card
T00281,2025-01-03 14:54:36,C3292,P012,1,323.48,0.0,323.48,Debit Card
T00282,2025-01-03 19:48:15,C0698,P097,1,94.74,0.15,80.53,PayPal
T00283,2025-01-03 08:30:58,C1503,P061,1,120.66,0.15,102.56,Credit Card
T00284,2025-01-03 14:25:00,C4676,P014,2,142.42,0.0,284.84,Debit Card
T00285,2025-01-03 09:30:19,C2101,P071,1,405.93,0.0,405.93,Debit Card
T00286,2025-01-03 12:58:32,C3547,P062,1,126.29,0.0,126.29,PayPal
T00287,2025-01-03 20:00:50,C2361,P064,1,11.32,0.15,9.62,Credit Card
T00288,2025-01-03 08:02:36,C3036,P069,2,44.4,0.0,88.8,Credit Card
T00289,2025-01-03 19:18:43,C4128,P035,1,203.1,0.15,172.64,Credit Card
T00290,2025-01-03 17:39:31,C1533,P001,1,112.89,0.0,112.89,Credit Card
T00291,2025-01-03 12:46:42,C2472,P031,2,25.6,0.15,43.52,PayPal
T00292,2025-01-03 12:05:59,C2251,P033,3,35.02,0.15,89.3,Debit Card
T00293,2025-01-03 11:36:12,C3909,P057,1,191.35,0.0,191.35,Debit Card
T00294,2025-01-03 13:11:05,C2115,P020,3,73.97,0.0,221.91,Credit Card
T00295,2025-01-03 21:36:27,C4404,P064,2,11.32,0.15,19.24,PayPal
T00296,2025-01-03 17:27:05,C2357,P034,1,226.84,0.0,226.84,Credit Card
T00297,2025-01-03 16:23:51,C1592,P030,1,261.77,0.0,261.77,Credit Card
T00298,2025-01-03 09:03:44,C1305,P019,4,322.14,0.0,1288.56,Credit Card
T00299,2025-01-03 13:57:22,C3055,P011,1,413.83,0.0,413.83,Credit Card
T00300,2025-01-03 18:03:12,C0725,P018,1,66.79,0.0,66.79,Credit Card
T00301,2025-01-03 18:10:18,C0480,P069,2,44.4,0.0,88.8,Credit Card
T00302,2025-01-03 08:13:12,C3368,P012,5,323.48,0.0,1617.4,PayPal
T00303,2025-01-03 14:32:31,C4611,P002,1,106.0,0.0,106.0,Debit Card
T00304,2025-01-03 20:55:36,C2038,P011,1,413.83,0.0,413.83,Credit Card
T00305,2025-01-03 15:45:33,C1098,P096,2,22.83,0.0,45.66,Credit Card
T00306,2025-01-03 10:35:33,C2611,P043,2,101.88,0.15,173.2,Debit Card
T00307,2025-01-03 11:05:58,C0659,P070,3,347.66,0.0,1042.98,Credit Card
T00308,2025-01-03 20:54:53,C3079,P063,1,119.39,0.0,119.39,PayPal
T00309,2025-01-03 14:49:00,C2052,P007,3,233.2,0.0,699.6,PayPal
T00310,2025-01-03 20:29:14,C3955,P051,1,83.85,0.0,83.85,PayPal
T00311,2025-01-03 16:54:28,C0485,P015,1,22.07,0.0,22.07,Credit Card
T00312,2025-01-03 18:01:29,C1317,P084,2,219.9,0.0,439.8,Credit Card
T00313,2025-01-03 21:54:03,C3964,P064,2,11.32,0.15,19.24,Debit Card
T00314,2025-01-03 10:19:04,C4345,P065,3,10.26,0.0,30.78,PayPal
T00315,2025-01-03 16:19:56,C4149,P064,1,11.32,0.15,9.62,Credit Card
T00316,2025-01-03 11:48:58,C1308,P019,5,322.14,0.0,1610.7,PayPal
T00317,2025-01-03 19:58:15,C0997,P029,1,110.8,0.0,110.8,Credit Card
T00318,2025-01-03 18:48:19,C1652,P015,1,22.07,0.0,22.07,Credit Card
